用户id,年龄,性别,省份,城市,来源渠道,event事件,event path,客户端时间,场景,类型
user1,35,女,北京市,北京市,主动打开,进入app,,2022/10/28 12:12:16,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/10/28 12:15:44,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/28 12:17:02,正文页,体育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/10/28 12:18:10,正文页,体育
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/10/28 12:19:30,正文页,体育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/10/28 12:20:21,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/28 12:22:12,正文页,财经
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/10/28 12:25:11,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/28 12:29:02,正文页,财经
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/10/28 12:40:22,正文页,教育
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/10/28 13:20:26,正文页,新闻
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/10/28 13:22:42,正文页,新闻
user1,35,女,北京市,北京市,推送打开,观看直播,,2022/10/28 13:26:28,正文页,教育
user1,35,女,北京市,北京市,推送打开,观看直播,,2022/10/28 13:28:11,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/28 13:30:06,正文页,新闻
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/28 13:32:31,正文页,新闻
user1,35,女,北京市,北京市,推送打开,进入列表页,,2022/10/29 10:34:31,聚合页,综合
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/10/29 10:35:12,正文页,体育
user1,35,女,北京市,北京市,推送打开,进入列表页,,2022/10/29 10:37:03,聚合页,综合
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/10/29 10:44:21,正文页,财经
user1,35,女,北京市,北京市,推送打开,进入列表页,,2022/10/29 10:46:14,聚合页,综合
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/29 10:49:44,正文页,财经
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 10:51:16,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 10:55:23,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/29 10:56:18,正文页,新闻
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 10:59:34,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 11:04:20,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/29 11:08:53,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 11:14:12,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 11:16:23,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,阅读小说,,2022/10/29 11:22:22,正文页,娱乐
